model,cv_accuracy_mean,cv_accuracy_std,test_accuracy
SVM,0.9666666666666668,0.016666666666666653,0.9666666666666667
Logistic Regression,0.9583333333333334,0.026352313834736508,0.9333333333333333
KNN,0.9583333333333334,0.026352313834736508,0.9333333333333333
Random Forest,0.95,0.0311804782231162,0.9
Decision Tree,0.9416666666666667,0.020412414523193187,0.9
